name,percent_sold,url,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
Internxt,92.5,https://icodrops.com/internxt,220800,41000000,1.02,8.33002,8.17,3.51,4.75
Centra,-,https://icodrops.com/centra,26100000,26100000,0.73,0.648384,0.89,0.36,0.48
Kin,62,https://icodrops.com/kin,48594816,75000000,0.0001,0.000251543,2.03,0.82,0.90
Cindicator,75,https://icodrops.com/cindicator,15000000,15000000,0.0100,0.146796,14.68,5.83,7.71
Modum,60,https://icodrops.com/modum,13350000,16400000,1.00,2.5584,2.56,0.94,1.29
ICON,50,https://icodrops.com/icon,42750000,42800000,0.11,3.04308,26.69,10.68,14.63
ChainLink,35,https://icodrops.com/chainlink,32000000,32000000,0.11,0.350191,3.11,1.28,1.76
Substratum,-,https://icodrops.com/substratum,13800000,45000000,0.0817,0.500977,6.13,2.11,3.07
KICKICO,74,https://icodrops.com/kickico,21581925,12800000,0.0850,0.0373001,0.44,0.16,0.22
KyberNetwork,61,https://icodrops.com/kybernetwork,46000000,46000000,0.38,2.75982,7.23,2.33,3.41
Social,-,https://icodrops.com/social,5243080,15000000,0.46,0.357901,0.78,0.25,0.37
BitDice,68,https://icodrops.com/bitdice,8748793,,0.0875,0.209002,2.39,0.77,1.13
Enigma,50,https://icodrops.com/enigma,45000000,45000000,0.60,1.87934,3.14,1.29,1.83
Rivetz,35,https://icodrops.com/rivetz,18653920,20000000,0.88,0.440156,0.50,0.21,0.29
Filecoin,-,https://icodrops.com/filecoin,257000000,40000000,5.00,19.5854,3.92,1.62,2.30
Indorse,-,https://icodrops.com/indorse,9247392,15000000,0.33,0.0907016,0.27,0.13,0.17
Hubii Network,70,https://icodrops.com/hubii-network,7130256,50000000,0.33,0.686979,2.06,0.96,1.31
Aventus,60,https://icodrops.com/aventus,18780000,18800000,3.40,2.04661,0.60,0.26,0.37
Viberate,60,https://icodrops.com/viberate,12000000,12000000,0.1000,0.207225,2.07,0.87,1.24
Tron,40,https://icodrops.com/tron,70000000,70000000,0.0019,0.0318734,17.11,9.30,11.63
Monetha,50,https://icodrops.com/monetha,35910000,35900000,0.16,0.121713,0.77,0.41,0.49
Everex,-,https://icodrops.com/everex,25840000,26000000,2.10,1.64086,0.78,0.41,0.49
ChronoLogic,-,https://icodrops.com/chrono-logic,7502120,13000000,15.38,4.59788,0.30,0.15,0.19
DIMCOIN,-,https://icodrops.com/dimcoin,14005746,13500000,0.0100,0.00608812,0.61,0.29,0.36
OPUS,75,https://icodrops.com/opus,5737250,20000000,0.0362,0.0351029,0.97,0.44,0.58
Decentraland,40,https://icodrops.com/decentraland,24137000,20000000,0.0240,0.0734437,3.06,1.27,1.76
Lampix,-,https://icodrops.com/lampix,12112616,,0.11,0.0595284,0.56,0.23,0.32
Agrello,66,https://icodrops.com/agrello,30100000,43200000,0.43,0.277526,0.64,0.27,0.39
BlockCAT,-,https://icodrops.com/blockcat,6284400,5000000,0.88,1.04592,1.19,0.48,0.70
0x,50,https://icodrops.com/0x,24000000,24000000,0.0480,0.846507,17.63,7.15,10.27
SALT,45,https://icodrops.com/salt,48500000,48500000,0.89,3.30272,3.71,1.47,2.11
Po.et,50,https://icodrops.com/po-et,10000000,10000000,0.0064,0.0464423,7.30,2.76,3.41
Tierion,35,https://icodrops.com/tierion,25000000,25000000,0.0710,0.110802,1.56,0.65,0.74
Tezos,-,https://icodrops.com/tezos,230533089,,0.47,2.31601,4.93,1.46,1.61
Polybius,93,https://icodrops.com/polybius,62956169,100000000,10.00,3.7105,0.37,0.16,0.13
EOS,90,https://icodrops.com/eos,196874404,,0.99,7.4483,7.55,3.20,2.71
TenX,-,https://icodrops.com/tenx,80000000,,0.64,1.41447,2.21,0.69,0.80
OmiseGo,-,https://icodrops.com/omisego,25000000,25000000,0.35,9.75413,28.19,13.69,10.80
Civic,33,https://icodrops.com/civic,33000000,,0.1000,0.296733,2.97,1.45,1.13
Status Network,-,https://icodrops.com/status-network,107664907,90000000,0.0370,0.191951,5.19,2.69,1.86
SONM,-,https://icodrops.com/sonm,42000000,,0.16,0.176563,1.13,0.60,0.40
Monaco,30,https://icodrops.com/monaco,54317213,,3.80,6.26748,1.65,0.88,0.60
Bancor,-,https://icodrops.com/bancor,153000000,,3.92,4.35166,1.11,0.61,0.46
Cofound.it,25,https://icodrops.com/cofound-it,14820030,12500000,0.12,0.0832697,0.70,0.26,0.28
MobileGo,70,https://icodrops.com/mobilego,106138404,,0.76,0.452909,0.60,0.16,0.20
Storj,25,https://icodrops.com/storj,30000000,30000000,0.50,0.7757,1.55,0.40,0.54
ChronoBank,-,https://icodrops.com/chronobank,5412000,,10.00,17.3661,1.74,0.03,0.24
