name,percent_sold,url,date,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
BLOCKv,17.5,https://icodrops.com/blockv,25 October,21599100,40000000,0.0207,0.0496273,2.39,1.16,2.16
Astronaut,88,https://icodrops.com/astronaut,25 October,2352240,,0.89,2.43561,2.73,1.31,2.50
UnikoinGold,-,https://icodrops.com/unikoingold,23 October,29436000,86400000,0.30,0.274178,0.90,0.38,0.52
COBINHOOD,50,https://icodrops.com/cobinhood,23 October,13078406,25000000,0.0516,0.163249,3.16,1.48,2.98
Electroneum,29,https://icodrops.com/electroneum,23 October,39934610,40000000,0.0100,0.0419126,4.19,1.90,3.84
Ambrosus,40,https://icodrops.com/ambrosus,22 October,32507330,97800000,0.30,0.34887,1.17,0.56,1.12
Gimli,53,https://icodrops.com/gimli,20 October,1717455,6000000,0.0871,0.0246429,0.28,0.14,0.25
Qvolta,-,https://icodrops.com/qvolta,20 October,729652,4700000,0.31,0.494785,1.61,0.80,1.46
DOVU,25,https://icodrops.com/dovu,17 October,6644682,28400000,0.11,0.182348,1.71,0.92,1.56
HEROcoin,30,https://icodrops.com/herocoin,16 October,2021034,16000000,0.0267,0.044139,1.65,0.89,1.49
eidoo,20,https://icodrops.com/eidoo,16 October,27676992,51700000,2.58,1.52155,0.59,0.32,0.53
Change Bank,40,https://icodrops.com/change-bank,16 October,15963255,40000000,0.44,0.203518,0.46,0.24,0.42
Request Network,70,https://icodrops.com/request-network,16 October,33600000,33600000,0.0672,0.173754,2.59,1.40,2.35
Paragon,50,https://icodrops.com/paragon,16 October,6000000,100000000,1.00,0.199017,0.20,0.11,0.17
Credit Protocol,29,https://icodrops.com/credit-protocol-token,16 October,15300000,15300000,0.34,0.336617,0.99,0.54,0.89
bitJob,56,https://icodrops.com/bitjob,13 October,2726424,12000000,0.39,0.0436629,0.11,0.06,0.10
Streamr,49,https://icodrops.com/streamr,13 October,27000000,27000000,0.0615,0.0850963,1.38,0.74,1.23
Ties.Network,70,https://icodrops.com/ties-network,12 October,6399760,33600000,0.24,0.131334,0.55,0.27,0.42
Anryze,78,https://icodrops.com/anryze,12 October,1759099,6000000,0.0200,0.0100325,0.50,0.24,0.38
AirSwap,30,https://icodrops.com/airswap,11 October,12600000,12600000,0.30,0.419974,1.40,0.68,1.06
LAToken,50,https://icodrops.com/latoken,10 October,18880673,40000000,0.42,0.276033,0.66,0.32,0.50
Maecenas,30,https://icodrops.com/maecenas,10 October,15375432,18900000,0.66,0.502263,0.76,0.37,0.59
DomRaider,35,https://icodrops.com/domraider,9 October,67200000,67200000,0.12,0.0328912,0.27,0.14,0.20
Red Pulse,40,https://icodrops.com/red-pulse,8 October,14508923,14500000,0.0358,0.0874523,2.45,1.23,1.75
PayPie,75,https://icodrops.com/paypie,8 October,26000000,26000000,0.34,1.03356,3.02,1.52,2.13
AirToken,70,https://icodrops.com/airtoken,6 October,15000000,15000000,0.0200,0.0109605,0.55,0.26,0.38
PowerLedger,35,https://icodrops.com/powerledger,6 October,13240000,,0.0838,0.405567,4.84,2.31,3.33
Real,51,https://icodrops.com/real,30 September,10604571,33000000,1.32,0.349973,0.26,0.12,0.17
ALIS,50,https://icodrops.com/alis,29 September,3705000,35600000,0.0983,0.290702,2.96,1.36,1.92
Internxt,92.5,https://icodrops.com/internxt,28 September,220800,41000000,1.02,7.03718,6.90,3.41,4.60
Centra,-,https://icodrops.com/centra,26 September,26100000,26100000,0.73,0.533808,0.73,0.34,0.45
Kin,62,https://icodrops.com/kin,25 September,48594816,75000000,0.0001,0.00021284,1.72,0.80,0.90
Cindicator,75,https://icodrops.com/cindicator,24 September,15000000,15000000,0.0100,0.11588,11.59,5.30,6.97
Modum,60,https://icodrops.com/modum,22 September,13350000,16400000,1.00,2.13215,2.13,0.91,1.24
ICON,50,https://icodrops.com/icon,20 September,42750000,42800000,0.11,2.68526,23.55,10.85,14.78
ChainLink,35,https://icodrops.com/chainlink,19 September,32000000,32000000,0.11,0.29518,2.62,1.24,1.70
Substratum,-,https://icodrops.com/substratum,17 September,13800000,45000000,0.0817,0.400958,4.91,1.94,2.81
KICKICO,74,https://icodrops.com/kickico,16 September,21581925,12800000,0.0850,0.0328497,0.39,0.16,0.22
KyberNetwork,61,https://icodrops.com/kybernetwork,16 September,46000000,46000000,0.38,2.17035,5.68,2.11,3.07
Social,-,https://icodrops.com/social,15 September,5243080,15000000,0.46,0.327272,0.71,0.26,0.38
BitDice,68,https://icodrops.com/bitdice,15 September,8748793,,0.0875,0.182707,2.09,0.78,1.13
Enigma,50,https://icodrops.com/enigma,11 September,45000000,45000000,0.60,1.56086,2.61,1.24,1.74
Rivetz,35,https://icodrops.com/rivetz,10 September,18653920,20000000,0.88,0.440475,0.50,0.24,0.34
Filecoin,-,https://icodrops.com/filecoin,8 September,257000000,40000000,5.00,15.7382,3.15,1.50,2.14
Indorse,-,https://icodrops.com/indorse,7 September,9247392,15000000,0.33,0.0809986,0.24,0.13,0.18
Hubii Network,70,https://icodrops.com/hubii-network,7 September,7130256,50000000,0.33,0.592097,1.78,0.96,1.30
Aventus,60,https://icodrops.com/aventus,6 September,18780000,18800000,3.40,1.89831,0.56,0.28,0.39
Viberate,60,https://icodrops.com/viberate,5 September,12000000,12000000,0.1000,0.166335,1.66,0.81,1.14
Tron,40,https://icodrops.com/tron,2 September,70000000,70000000,0.0019,0.0265585,14.26,8.92,11.11
Monetha,50,https://icodrops.com/monetha,31 August,35910000,35900000,0.16,0.0979742,0.62,0.38,0.45
Everex,-,https://icodrops.com/everex,31 August,25840000,26000000,2.10,1.3703,0.65,0.40,0.47
ChronoLogic,-,https://icodrops.com/chrono-logic,30 August,7502120,13000000,15.38,3.71206,0.24,0.14,0.18
DIMCOIN,-,https://icodrops.com/dimcoin,27 August,14005746,13500000,0.0100,0.00564955,0.56,0.30,0.40
OPUS,75,https://icodrops.com/opus,25 August,5737250,20000000,0.0362,0.0250352,0.69,0.36,0.48
Decentraland,40,https://icodrops.com/decentraland,19 August,24137000,20000000,0.0240,0.0668145,2.78,1.33,1.83
Lampix,-,https://icodrops.com/lampix,19 August,12112616,,0.11,0.0522652,0.49,0.24,0.32
Agrello,66,https://icodrops.com/agrello,18 August,30100000,43200000,0.43,0.218581,0.51,0.25,0.35
BlockCAT,-,https://icodrops.com/blockcat,16 August,6284400,5000000,0.88,0.910671,1.04,0.49,0.69
0x,50,https://icodrops.com/0x,16 August,24000000,24000000,0.0480,0.699345,14.57,6.80,9.72
SALT,45,https://icodrops.com/salt,15 August,48500000,48500000,0.89,3.10741,3.49,1.60,2.28
Po.et,50,https://icodrops.com/po-et,9 August,10000000,10000000,0.0064,0.0371263,5.84,2.54,3.13
Tierion,35,https://icodrops.com/tierion,9 August,25000000,25000000,0.0710,0.0925116,1.30,0.63,0.71
Tezos,-,https://icodrops.com/tezos,14 July,230533089,,0.47,2.23721,4.76,1.62,1.78
Polybius,93,https://icodrops.com/polybius,30 June,62956169,100000000,10.00,3.3777,0.34,0.17,0.14
EOS,90,https://icodrops.com/eos,26 June,196874404,,0.99,6.25878,6.34,3.09,2.61
TenX,-,https://icodrops.com/tenx,24 June,80000000,,0.64,1.19143,1.86,0.67,0.77
OmiseGo,-,https://icodrops.com/omisego,23 June,25000000,25000000,0.35,8.11656,23.46,13.11,10.30
Civic,33,https://icodrops.com/civic,21 June,33000000,,0.1000,0.2549,2.55,1.43,1.11
Status Network,-,https://icodrops.com/status-network,20 June,107664907,90000000,0.0370,0.167073,4.52,2.70,1.86
SONM,-,https://icodrops.com/sonm,18 June,42000000,,0.16,0.150457,0.96,0.59,0.39
Monaco,30,https://icodrops.com/monaco,18 June,54317213,,3.80,5.23442,1.38,0.85,0.57
Bancor,-,https://icodrops.com/bancor,12 June,153000000,,3.92,3.7011,0.94,0.60,0.45
Cofound.it,25,https://icodrops.com/cofound-it,7 June,14820030,12500000,0.12,0.0718087,0.61,0.26,0.27
MobileGo,70,https://icodrops.com/mobilego,25 May,106138404,,0.76,0.397069,0.52,0.16,0.20
Storj,25,https://icodrops.com/storj,25 May,30000000,30000000,0.50,0.641763,1.28,0.39,0.51
ChronoBank,-,https://icodrops.com/chronobank,14 February,5412000,,10.00,15.4434,1.54,0.03,0.25
